timestamp,AccelerationX,AccelerationY,AccelerationZ,MagneticFieldX,MagneticFieldY,MagneticFieldZ,Z-AxisAgle(Azimuth),X-AxisAngle(Pitch),Y-AxisAngle(Roll),GyroX,GyroY,GyroZ,id,id_group,id_class,AccelerationX_lag1,AccelerationX_lag2,AccelerationX_lag3,AccelerationX_lag5,GyroX_lag1,GyroX_lag2,GyroX_lag3,GyroX_lag5
1422629706459,4.621,-8.25,2.496,-14.786,29.684,14.389,356.511,86.055,28.947,0.255,0.077,-0.302,34.0,-1.0,0,3.191,2.507,1.775,-3.335,0.607,0.292,-1.812,-2.158
1422629706559,4.317,-8.255,3.131,-15.213,31.705,11.696,357.769,75.305,29.15,1.501,0.054,-0.003,34.0,-1.0,0,4.621,3.191,2.507,0.376,0.255,0.607,0.292,-6.3
1422629706659,5.299,-7.113,4.242,-15.721,31.4,10.529,357.626,74.006,29.047,0.317,-0.059,0.048,34.0,-1.0,0,4.317,4.621,3.191,1.775,1.501,0.255,0.607,-1.812
1422629706759,5.635,-7.466,3.808,-14.61,31.619,9.789,356.498,72.703,29.669,0.148,-0.148,-0.059,34.0,-1.0,0,5.299,4.317,4.621,2.507,0.317,1.501,0.255,0.292
1422629706859,5.233,-7.47,3.918,-15.723,33.435,10.199,355.91,73.226,30.305,-0.069,-0.151,-0.055,34.0,-1.0,0,5.635,5.299,4.317,3.191,0.148,0.317,1.501,0.607
1422629706959,5.439,-7.573,3.559,-15.723,33.435,10.199,355.305,73.627,30.857,-0.069,-0.151,-0.055,34.0,-1.0,0,5.233,5.635,5.299,4.621,-0.069,0.148,0.317,0.255
1422629707080,5.468,-7.251,3.448,-15.552,32.246,10.498,354.862,73.039,31.123,0.155,-0.07,0.007,34.0,-1.0,0,5.439,5.233,5.635,4.317,-0.069,-0.069,0.148,1.501
1422629707159,5.404,-7.391,3.675,-14.92,30.888,9.81,355.25,70.261,31.842,-0.006,-0.034,0.013,34.0,-1.0,0,5.468,5.439,5.233,5.299,0.155,-0.069,-0.069,0.317
1422629707260,5.415,-7.395,3.591,-14.864,30.89,10.031,355.576,69.446,32.01,0.042,-0.019,0.002,34.0,-1.0,0,5.404,5.468,5.439,5.635,-0.006,0.155,-0.069,0.148
1422629707359,5.414,-7.422,3.803,-13.94,30.655,10.115,356.348,67.01,32.248,0.072,0.011,0.002,34.0,-1.0,0,5.415,5.404,5.468,5.233,0.042,-0.006,0.155,-0.069
